PARAMETER	Apelsvoll winter  91/92 Gri	Fureneset winter  05/06 Gri	Holt  winter  05/06 Gri	Holt  winter  06/07 Gri	Kvithamar winter  06/07 Gri	Saerheim summer 00 Gri	Saerheim summer 01 Gri	Saerheim summer 02 Gri	Saerheim winter  05/20 Gri	Saerheim winter  06/07 Gri	Maaninka	Rovaniemi	Searheim TIMCOM	Quebec	Lacombe	Umea	Fredricton	Kungsangen	Lanna	Karlslund	Klevarp	Tonnersa
TCSOMF	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460	1460
TCSOMS	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000	73000
TMAXF	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
TSIGMAF	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
RFN2O	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5
WFPS50N2O	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
NCSHMAX	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934	0.06934
NCR	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195	0.02195
RDRROOT	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
RDRSTUB	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086	0.2086
NFERTMULT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FNCGSHMIN	0	0	0	0	0	0	0	0	0	0	0.327	0.327	0.327	0.327	0.327	0.327	0.327	0.327	0.327	0.327	0.327	0.327
TCNSHMOB	8	8	8	8	8	8	8	8	8	8	7.643	7.643	7.643	7.643	7.643	7.643	7.643	7.643	7.643	7.643	7.643	7.643
TCNUPT	8	8	8	8	8	8	8	8	8	8	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6	27.6
F_DIGEST_WALL_FMIN	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
F_DIGEST_WALL_MAX	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
F_WALL_LV_FMIN	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7
F_WALL_LV_MAX	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
F_WALL_ST_FMIN	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
F_WALL_ST_MAX	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
