ST	YR	doy	T	TMMXI	TMMNI	RH	RAINI	WNI	GR
42	1999	1	5.9	6.9	4.3	61.6	0.6	2.4	0.4
42	1999	2	4.5	6.1	3.1	77.3	9.1	2.7	0.5
42	1999	3	5.2	5.6	4.7	82.4	8	1.8	0.3
42	1999	4	5.1	7	1.7	77.1	18.3	4.1	0.6
42	1999	5	6.2	7.1	4	76.4	10	2.7	0.4
42	1999	6	3.7	4.6	1.7	74.3	5	0.9	0.4
42	1999	7	1.9	2.9	0.1	74.9	0.9	0.5	0.6
42	1999	8	0	1	-1.8	59.7	0	0.4	0.4
42	1999	9	-2.4	-0.4	-4.4	59.2	0.6	0.6	1.4
42	1999	10	-1.2	0	-3.7	49.4	0.2	0.9	0.7
42	1999	11	-1.9	-0.4	-5.3	56	0.7	0.6	1.6
42	1999	12	-3.4	-2	-4.4	45	0.4	2.6	1.5
42	1999	13	-3	-2.5	-3.5	52.2	0.1	2.9	0.4
42	1999	14	-1.9	-0.8	-4	56.9	2.8	3.1	0.3
42	1999	15	1.1	6.4	-2.3	77.5	19.9	2.9	1
42	1999	16	3.6	5	1	60.1	5.3	4.1	1.6
42	1999	17	3.9	4.4	2.8	66.1	6.5	4.2	1.2
42	1999	18	4.3	5.2	2.8	71.5	12.6	2.9	1.6
42	1999	19	6.4	7.3	5	73.2	7.7	3.8	0.1
42	1999	20	6.2	7.3	5.1	72.2	1	2.6	0.9
42	1999	21	4.5	6.2	1.3	73.3	3.5	2.8	0.8
42	1999	22	4	5.2	1.9	71.2	6.7	3.2	1.3
42	1999	23	4.7	5.5	3.7	71.8	23	3.7	0.2
42	1999	24	4.8	5.8	3.3	69	3.3	3.8	1.2
42	1999	25	2.9	4.2	1.8	72.7	4.5	1.7	0.7
42	1999	26	2.4	4.1	1	73.1	4.2	0.9	2.2
42	1999	27	0.2	2.5	-1.9	70.8	0.6	0.8	2.6
42	1999	28	-2.1	-0.6	-4.9	58.5	0.3	1	2.5
42	1999	29	-1.9	1.5	-5.6	64.6	0.6	0.8	3.9
42	1999	30	2.9	5.3	1.3	71.8	7.4	1.1	0.8
42	1999	31	4.9	5.6	4.1	79.6	7.1	1.7	0.7
42	1999	32	5.2	6.2	4.4	90.2	0.2	3.3	1
42	1999	33	4.8	5.4	3.8	88	1.2	1.7	1.1
42	1999	34	5.3	7.3	3.5	84.8	20.2	2.9	1
42	1999	35	3.6	7.5	-0.8	78	3.8	10.3	2.3
42	1999	36	1.4	3.5	-0.6	73.8	3.5	11.2	2.5
42	1999	37	0.2	2.4	-2.2	83.9	2.2	3	3
42	1999	38	-2	1	-3.9	76.5	1.7	0.5	5.8
42	1999	39	-4.4	-1.2	-6.7	66.8	0.9	0.8	4.5
42	1999	40	-3.4	1.1	-6.7	80.6	2.1	0.5	3.7
42	1999	41	-4.6	-0.8	-7.6	55	0.7	0.8	6.2
42	1999	42	-2.8	0.4	-6.9	55	0.8	0.5	3.9
42	1999	43	1.6	2.8	0	86.7	0.4	0.7	2.6
42	1999	44	2.8	3.9	2.1	90.4	3.8	1.6	0.6
42	1999	45	3	4.4	2.2	88.4	7.7	2.7	0.6
42	1999	46	3.6	5.1	1.1	88.6	23.8	4.6	0.2
42	1999	47	-1.8	1.8	-4.4	75.6	5.3	3.6	3.8
42	1999	48	-2.6	-0.3	-5.1	84.1	7	1.6	4.7
42	1999	49	-0.9	1.3	-3.6	86.1	1.4	1.2	4
42	1999	50	2.8	4.6	0.6	88	19.1	3.1	2.5
42	1999	51	1.6	3	-0.3	89.1	7.2	2.9	3.5
42	1999	52	0.9	2.6	-0.5	90.8	6.1	1	2.4
42	1999	53	-0.3	0.9	-1.9	90	0.8	1.3	2.9
42	1999	54	0.6	3.4	-1.7	78	0.5	1	5.2
42	1999	55	-0.3	2.8	-2.6	74.9	0.7	1	9
42	1999	56	1.6	3.6	-0.8	85	3.4	0.8	1.1
42	1999	57	4.5	5.7	3.5	85.5	5.4	2.5	6.6
42	1999	58	3.7	5	1.4	90.4	2.9	1.9	1.8
42	1999	59	3.2	5.2	1.6	83.6	8.9	4.1	2.9
42	1999	60	2.9	4.6	1.5	80.2	0.7	4.2	7.1
42	1999	61	3.3	5	1.1	69	0.3	2.3	5.9
42	1999	62	2.1	3.6	0.7	79	9.5	2.8	3.2
42	1999	63	3.8	5.7	2.4	77.9	2.9	1.1	3.5
42	1999	64	3.8	8.1	1.7	59.6	0.2	0.7	6.7
42	1999	65	2.4	3.2	1.4	85.5	2.2	1	2.7
42	1999	66	2.6	4.4	1.6	81.3	0.6	0.5	2.7
42	1999	67	4.3	7.1	1.4	61.4	2.9	1.7	9.2
42	1999	68	1.8	4	-0.2	46.6	0.2	1.3	5.4
42	1999	69	0	2.4	-1.7	53.9	0.3	0.4	6.7
42	1999	70	0	1.6	-2	68.2	0.1	1.5	5
42	1999	71	1.2	3.2	0	59.9	0.1	3.3	3.5
42	1999	72	2.4	3.6	0.9	56.9	2.9	3.5	2.6
42	1999	73	2.6	4.8	1.1	69.5	0.1	1.9	4
42	1999	74	2.4	4.2	0.4	74.7	0.1	2.1	11.1
42	1999	75	3.7	4.8	1.9	92	10.9	3.4	1.1
42	1999	76	6.6	8.6	4.6	90.4	1.9	1.2	3.7
42	1999	77	5.7	7.7	3.1	91.8	12	1.9	1.5
42	1999	78	3.2	5.4	1.9	83	0.7	4.8	7.5
42	1999	79	2.1	4.4	0.2	67.5	1	3.2	11.3
42	1999	80	4	5.3	1.2	90.9	19.4	1.2	2.1
42	1999	81	1.5	3.7	-0.7	70.3	3.2	4.1	11.5
42	1999	82	0.6	3.7	-1.8	70.8	1.1	2.4	13.8
42	1999	83	2.8	5.5	-0.6	85.3	4.1	2.5	1.5
42	1999	84	4.9	7	2.4	87.8	1.6	0.9	4.5
42	1999	85	5.3	7.3	3.7	92.1	2.6	1.9	1.8
42	1999	86	4.7	7.2	3	84.7	0.7	2.5	11.8
42	1999	87	4.9	7.5	3.2	81.3	0.3	2.6	11.7
42	1999	88	6	6.6	4.8	92.3	16.5	2.8	2
42	1999	89	6.4	8.4	5.1	93.5	0.1	1.6	5.9
42	1999	90	8.2	12.3	4.4	70.5	0.3	1.9	11.8
42	1999	91	10.6	15.8	7.8	82.4	0.3	1.2	13.2
42	1999	92	12	17.1	8.1	51.8	0.3	1	15.2
42	1999	93	9.8	14.2	6.7	59.9	0.2	1.6	14.7
42	1999	94	8.4	12.3	5.1	59.1	0.3	1.5	16.6
42	1999	95	7.2	8.9	5.5	91.4	8.6	1.4	2.5
42	1999	96	7.4	8.5	6.4	98.1	8.9	1.6	2.6
42	1999	97	5.7	7.5	4.5	90	1.4	4.9	5.1
42	1999	98	5.4	7.8	3.6	91.1	1.8	1.8	8.9
42	1999	99	7.7	9.9	6.5	95	2.9	2.9	7
42	1999	100	6.8	7.6	5.8	92.4	1.5	2.9	2.9
42	1999	101	5.2	6.8	3.3	86.9	6.6	5.5	7.9
42	1999	102	4.5	6.4	3	68.3	1.7	1.9	3.2
42	1999	103	2.9	4	1.6	88.2	9.8	2.9	6
42	1999	104	2.9	4.9	0.6	61	1.1	4.8	10.9
42	1999	105	3.1	6.2	-0.4	60.6	0.3	1.7	17.6
42	1999	106	4.1	7.7	1.8	74.3	0.5	1.4	13.8
42	1999	107	4	8.5	0.7	67.9	0.4	2.5	18.4
42	1999	108	3.3	6.3	0.5	68	0.2	6.6	17.4
42	1999	109	3.8	6.2	2.1	67.9	0.3	6.7	16.3
42	1999	110	4.6	7.8	2	62	0.2	1.7	17.7
42	1999	111	7	9.2	5	32.2	0	2.5	4.1
42	1999	112	8.3	11.4	5.3	59	0.2	1.8	9.9
42	1999	113	9.5	14.5	5.7	80.7	0.6	1.5	15.4
42	1999	114	10.2	14.3	6.4	67	0.4	1.3	20.2
42	1999	115	13.2	17.7	8.2	42.4	0.4	1.5	18
42	1999	116	12.9	16.8	10.1	50.7	1	1.2	13.1
42	1999	117	10.5	15.5	5.2	62.9	0.4	2.4	21.8
42	1999	118	6.7	9.6	4.5	80.9	0.8	5.1	9.3
42	1999	119	5.8	8.9	3.2	66.9	4.6	3.7	18.3
42	1999	120	6.3	8.3	4.2	76.6	0.8	6.5	14.9
42	1999	121	5	7.8	2.7	77.8	2	3	12.6
42	1999	122	5.2	9	1.6	71	0.3	2.1	21.4
42	1999	123	5.5	7.9	3	85.1	0.2	0.8	5.3
42	1999	124	7.7	12.6	1.9	58.9	10.4	1.3	23.6
42	1999	125	11	16.1	6.2	39.3	0.4	1.4	24.3
42	1999	126	11.4	16.2	6.4	33.5	0.3	1.7	25.3
42	1999	127	11.1	16.3	4.8	32.7	0.4	1.7	25.2
42	1999	128	11.3	17.2	5.1	36.9	0.4	1.6	20.5
42	1999	129	7.4	9.4	5.1	63	1.4	1.5	2.4
42	1999	130	4.9	5.7	3.8	83.7	24.3	1.5	3.4
42	1999	131	6.3	8.8	4	55.2	1.8	1.8	8.7
42	1999	132	7.2	9.5	5	45.1	0.2	1.4	14.4
42	1999	133	6.9	9.4	4.2	51.7	0.6	1.7	25.1
42	1999	134	7.2	10.5	2.8	61.2	0.4	2.6	27
42	1999	135	8.1	11.1	4.9	62.4	0.3	2.4	26.2
42	1999	136	8.5	12.4	5	66.5	0.4	3.1	23.6
42	1999	137	9.6	12.8	6	67	0.4	1.6	27.5
42	1999	138	10.4	13.7	5.6	57.8	0.7	2.2	27.9
42	1999	139	12.6	17.6	6.5	47.1	0.5	1.6	27.4
42	1999	140	15.7	20.3	9.1	36.3	0.4	1.6	26.8
42	1999	141	12.8	17.7	5.9	65.9	10.6	2.3	12.5
42	1999	142	7.8	10.5	5.2	78.5	3.9	3.9	11.1
42	1999	143	9.1	11.4	7.3	86.3	3	2.7	10.6
42	1999	144	8.7	10.3	7.1	89	2.5	2.4	9.5
42	1999	145	8.9	11.1	7	78.3	0.2	3	18.8
42	1999	146	8.9	9.9	7	89.4	8.8	1.7	5.4
42	1999	147	11	15.8	6.9	70.9	0.4	1.1	25.9
42	1999	148	15	22.7	9.5	69.5	1.9	1.2	18.3
42	1999	149	9.3	11.9	6.6	85.4	6	4.1	9.7
42	1999	150	9.1	12.5	6.4	75.2	0.4	2.9	28.8
42	1999	151	8.3	10.9	5.6	80.5	0.4	2.6	28
42	1999	152	10.1	13.3	7.2	74.2	0.3	1.7	26.9
42	1999	153	10.2	14.5	8.2	92.1	0.4	1.4	18.7
42	1999	154	11.3	14.4	8.5	92.4	3.1	1.3	3.3
42	1999	155	10.8	12.6	9.4	100	1.1	1.3	4.2
42	1999	156	11.5	14.9	9.5	85.7	1.7	1.7	25.9
42	1999	157	10.1	12.7	8.7	95.6	10.7	0.8	7.7
42	1999	158	11	14.1	8.9	84.3	6.2	1.8	19.3
42	1999	159	12.1	16.2	10.1	80.8	11.5	1.9	7.7
42	1999	160	11.1	13.6	8.4	95.6	9.4	0.9	8
42	1999	161	12	16.5	7.1	80.3	0.5	1.9	20.2
42	1999	162	13.5	17.5	9.8	72.6	0.8	1.4	15.4
42	1999	163	12.7	15	10	87.4	2.3	1.3	9.5
42	1999	164	12	14.8	8.4	87.1	0.5	1.7	23.2
42	1999	165	12.5	15.5	10.4	96	2.1	1.7	13
42	1999	166	13.3	16.5	10	90.9	0.7	2	15.1
42	1999	167	13.5	17.5	9.2	91.1	0.2	1.5	14.9
42	1999	168	11.2	13.5	8.8	84.9	21	3.9	20.3
42	1999	169	11.5	14.8	7.2	77.7	0.7	1.9	27.3
42	1999	170	12.3	12.9	10.5	99.8	24.5	2.2	2.7
42	1999	171	10.6	12.8	7.4	91.6	22.1	4.9	12.4
42	1999	172	9.5	12.1	6.7	83.8	6.8	4.1	22.2
42	1999	173	9.8	12.1	7.9	87.4	0.5	4.5	20.8
42	1999	174	10.8	13.2	9.1	90.9	0.1	4.3	22.6
42	1999	175	10.6	13.1	8.7	81.5	0.1	4.2	24
42	1999	176	12.6	17	6.8	80	0.3	1.5	25
42	1999	177	13.9	18.1	9.9	86.8	0.5	1.6	15.3
42	1999	178	15.2	19.8	10.6	66.8	0.2	1.3	18.6
42	1999	179	15	18.1	12.1	89.9	7.9	1.5	5.4
42	1999	180	13.2	16.5	10.4	87.7	2	1.3	18.3
42	1999	181	13	15.8	10.1	90.5	0.5	2	12.8
42	1999	182	12.5	14.2	11.6	99.5	20.3	2.6	4.8
42	1999	183	11.8	13.6	9.8	92.1	0.9	2	14.5
42	1999	184	13.6	17.8	9.2	78.8	0.2	1.3	24.7
42	1999	185	13.9	16.1	13	98.7	10.6	1.3	3.2
42	1999	186	14.5	18.2	11.8	95.9	0.2	1.6	11.7
42	1999	187	13.5	16	11.5	85	0.1	3.3	24.2
42	1999	188	13	15.4	9.5	80.5	0.1	2.9	29.7
42	1999	189	14.2	18.5	9.8	80.6	0.2	1.7	27.8
42	1999	190	16.4	20	12.6	80.8	0.2	1.5	27.7
42	1999	191	17.8	21.7	12.7	67	0.2	1.2	28.7
42	1999	192	17.1	20.6	13.3	80.9	0.2	2.6	28.7
42	1999	193	14.9	18.7	12.3	94.1	0.2	2.2	26
42	1999	194	14.6	17.8	11.8	87.5	0.1	1.6	26.8
42	1999	195	14.4	17.4	12.3	89.7	5.8	2.8	12.8
42	1999	196	13	15.5	10.3	74.5	1.1	2.5	19.1
42	1999	197	13.6	16.5	9.4	77.9	0.2	1.2	24.8
42	1999	198	14.8	18.5	12.5	92.6	2.6	1.4	14.1
42	1999	199	15.6	17.6	14.1	89.7	1.7	2.5	16.3
42	1999	200	17.9	21.7	14.2	83.6	1.4	1	17.1
42	1999	201	17.4	19.3	15.7	95	12.9	1.6	6.1
42	1999	202	14.2	16.1	12.7	100	21.7	3.3	5.3
42	1999	203	13.8	16.2	11.3	89.2	0.6	4.5	15.9
42	1999	204	11.9	13.8	10.4	90.4	13.8	2.9	6.8
