ST	YR	doy	T	TMMXI	TMMNI	RH	RAINI	WNI	GR
42	2001	1	2.3	3.3	0.9	75.7	1.6	3.5	0.7
42	2001	2	4.4	5.4	3.1	75.3	0	2.1	0.8
42	2001	3	4.9	6.3	2.5	85.1	8.5	2.9	0.3
42	2001	4	4.5	5.3	3.5	80.9	1.5	2.4	0.6
42	2001	5	5.4	6.2	4.5	75.5	1.2	2.6	0.3
42	2001	6	4.8	6.3	2.9	76	2.5	2	0.5
42	2001	7	4.2	5.6	3.3	92.2	7.3	1	0.9
42	2001	8	4.2	4.9	3.3	91.4	3.9	0.4	0.8
42	2001	9	2	4	0	93.5	0.9	0.4	1.6
42	2001	10	-1.4	0.8	-2.9	85.7	0.6	0.7	2.7
42	2001	11	2.4	5.1	-2	87.9	1.6	2.6	0.9
42	2001	12	1.3	2.7	-0.2	82.8	0	0.9	1.3
42	2001	13	0.2	1.3	-1.4	62.3	0	0.8	1.4
42	2001	14	1.5	4.4	-0.7	82.7	0	1	1.4
42	2001	15	-0.3	2.3	-5	77.5	0.1	1	1.9
42	2001	16	-3.1	-1.4	-6.7	99	0	0.9	0.5
42	2001	17	-4	-2.2	-6.1	90.1	0.1	1.2	2.4
42	2001	18	-1.2	0.8	-6.2	74.5	0	1.8	0.4
42	2001	19	0.5	0.9	-0.5	67.5	0	0.7	0.4
42	2001	20	0.1	1.3	-1.2	63.2	0	1.2	0.5
42	2001	21	1.2	2.1	0.1	66.6	0	2.2	1.3
42	2001	22	2.2	2.8	1.5	67.7	0	2.4	0.5
42	2001	23	2.5	3.9	1.3	63	0	3.6	2.3
42	2001	24	4.7	6.3	2.6	89.7	17.6	4.2	0.5
42	2001	25	4.9	6	3	92.4	6	1.9	0.5
42	2001	26	4.2	5	2.3	93.5	14	2.1	0.7
42	2001	27	2.7	3.7	0.9	97.6	20.2	1.4	1.2
42	2001	28	2.9	3.5	2.1	91.8	0.6	0.7	1
42	2001	29	2.2	3.2	1.1	97	5.7	0.5	1
42	2001	30	1.2	2.8	-0.9	87.1	0	0.7	1.8
42	2001	31	-0.1	2	-2.9	87.6	0	0.8	3.3
42	2001	32	-2.7	-0.1	-5.5	58	0.1	1.1	2.3
42	2001	33	-6.8	-4.9	-9.5	40.4	0.1	3.3	3.9
42	2001	34	-10.4	-9.2	-11.9	38.5	0	3.4	3.9
42	2001	35	-10.5	-8.4	-12.8	39.8	0	3.3	4.3
42	2001	36	-6.7	-5.3	-8.5	43.2	0	2.8	2.2
42	2001	37	-4.7	0.8	-7.6	68.4	11.5	2	0.9
42	2001	38	2.8	6	0.4	91.1	9.5	3.3	0.8
42	2001	39	0.3	2.1	-1.6	93.3	0.8	1.1	3
42	2001	40	-1.7	2.5	-4.8	78.1	0	0.7	6.7
42	2001	41	0.5	3	-2.3	89.6	5.1	1.8	2.7
42	2001	42	3.9	6.4	0.1	98.1	10.8	3.2	1.6
42	2001	43	5.7	6.7	4.3	99.8	2.2	5	2.8
42	2001	44	4.5	5.9	3.3	98.3	0.2	1.2	1.4
42	2001	45	2.5	4.6	0.9	98.1	0.2	0.5	1.6
42	2001	46	3.4	6.4	0.9	94.5	0	1.9	2.9
42	2001	47	1.3	6	-2.2	83.2	0	0.9	7
42	2001	48	4	5.6	0.8	96.4	0	3.9	3.6
42	2001	49	4.8	6.1	3.9	97.6	0	3.2	2.2
42	2001	50	3.7	6.1	2.2	93.6	0.7	3	3.7
42	2001	51	4.7	5.8	3.3	95.1	6.3	5.4	1.3
42	2001	52	2.2	4.6	-0.2	93.4	6.5	7.5	2.8
42	2001	53	-0.5	2	-3.2	90	2	2.8	4.7
42	2001	54	-2.5	0.3	-5.1	74.5	0.5	1.1	7.6
42	2001	55	-1.1	1.9	-3.1	95	5.7	0.9	4.7
42	2001	56	-3.2	0.2	-6.1	80.6	0.1	0.8	5.6
42	2001	57	-3.6	-2.3	-5.2	89.1	22.2	1.3	2.4
42	2001	58	-4.5	-1.3	-7.4	73.5	21.9	1.1	3.1
42	2001	59	-6.6	-1.8	-11.1	60.2	6.6	1	7.6
42	2001	60	-6.1	-2.8	-10.2	75.6	0	0.9	6.6
42	2001	61	-7.3	-3.3	-13.1	78	6.9	1.2	7.9
42	2001	62	-2.2	0	-4.2	91.5	15	0.9	1.8
42	2001	63	-0.5	1.5	-3.8	68	0	2.7	8.3
42	2001	64	1.3	2.9	-1.6	79.2	0.1	2.3	5.1
42	2001	65	2.1	4	-1.6	88.6	0	2.2	6
42	2001	66	2	4.5	-3	46.6	0	1.7	4.7
42	2001	67	4.6	7.2	2.6	79.3	0	1.1	6
42	2001	68	4.1	5.2	2.7	84	5.6	2.4	1.2
42	2001	69	5.2	7.8	3.2	96.5	1.2	1.1	4.8
42	2001	70	5.3	6.3	4	98.4	7.8	1.1	1.2
42	2001	71	3.1	5	1.8	96.5	9.6	1.1	2.3
42	2001	72	4	6.3	1.5	82.6	0.8	1.4	6.1
42	2001	73	2.9	5.5	0.7	89	0.7	1.6	9.4
42	2001	74	1.4	5.2	-0.7	88.6	0	0.8	8
42	2001	75	0.4	3.2	-2.3	79.4	0.2	1.7	13.6
42	2001	76	0.1	3.5	-3.2	56.6	0.1	1.3	8.5
42	2001	77	-2.3	1.4	-5.8	70.1	0	0.8	13.4
42	2001	78	-1.7	0.6	-4.7	71.5	0.1	1	13.3
42	2001	79	-0.6	3.3	-4.2	82.8	0	1.4	14.4
42	2001	80	-0.4	3.1	-3.7	69.5	0.1	1.1	15
42	2001	81	0	4.4	-3.3	51.5	0	1.3	12.1
42	2001	82	0.5	5	-2.9	45.5	0	1.3	12.5
42	2001	83	0.8	4.6	-2.9	50.6	0	1.6	15.4
42	2001	84	0.8	5.5	-3	44.8	0.1	1.8	15.4
42	2001	85	0.4	4.7	-3.8	60.8	0	1.4	15.7
42	2001	86	0.8	3.4	-2	61.7	0	1.8	12.7
42	2001	87	1.2	4.1	-1.5	50.8	0	3	14
42	2001	88	1.8	3.4	-0.2	63.8	1.1	3.1	3.9
42	2001	89	1.9	3.9	-0.3	92.3	1.3	0.6	4.3
42	2001	90	4.2	5.7	2.2	91.9	11	1.7	3.1
42	2001	91	4.9	7.3	2.7	93.8	5.2	1.3	4
42	2001	92	7.1	11.6	3.4	85.6	0	1.8	10.1
42	2001	93	6.8	10.7	3.9	87	12.3	3.3	7.1
42	2001	94	5	6.6	3	90.4	19	1.6	1.9
42	2001	95	4.4	6.6	1.9	86	2.9	4.1	9.8
42	2001	96	4.3	6.3	1.9	77.3	1.1	0.9	4.2
42	2001	97	5.9	9	3.8	69	0	1	7.9
42	2001	98	4.9	7.2	3.5	88.1	0.1	2.7	13.7
42	2001	99	5	7.8	2.7	74.8	0	2.2	14
42	2001	100	5.3	7.1	3.4	81.8	2.4	1.4	4
42	2001	101	3.6	6.9	0.6	81.2	0.8	4.6	17.6
42	2001	102	2.1	5.7	-0.5	52.2	0.1	4.1	20.1
42	2001	103	1.3	4.9	-2.5	45.3	0.1	1.8	20.9
42	2001	104	0.8	2.3	-1.4	81.8	3.3	2.2	5.9
42	2001	105	2.7	5.4	1.2	86.2	1.6	1.5	8.5
42	2001	106	3.8	7.1	1.8	80.4	0	4.5	12.8
42	2001	107	3.1	5.3	0.7	86.8	3.6	3.5	8.7
42	2001	108	2.7	5.6	-0.5	78.1	0.4	3.2	20.7
42	2001	109	5.1	9.3	2	47.4	0	2	12.8
42	2001	110	4.6	8.9	0.9	53.7	0	2	21.2
42	2001	111	4.1	6.9	1.3	75.2	0	1.4	21.5
